Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2020,7,211,DX,169,202006,DO,Bus,23
2016,3,910,DX,15914,201601,DO,Bus,23
2009,7,26,DX,27413,200906,DO,Bus,23
2010,3,665,DX,988,200912,DO,Bus,23
2021,3,258,DX,749,202012,DO,Bus,23
2015,7,33,DX,10849,201506,DO,Bus,23
2018,8,243,DX,1662,201806,DO,Bus,23
2016,3,35,DX,9495,201601,DO,Bus,23
2011,8,258,DX,1694,201106,DO,Bus,23
2012,8,780,DX,10246,201206,DO,Bus,23
2013,10,45,DX,23991,201306,DO,Bus,23
2016,8,14,DX,17951,201606,DO,Bus,23
2018,8,233,DX,11523,201806,DO,Bus,23
2010,3,16,DX,26563,200912,DO,Bus,23
2019,10,550,DX,1491,201906,DO,Bus,23
2015,7,733,DX,12200,201506,DO,Bus,23
2023,3,804,DX,20412,202212,DO,Rail,23
2012,10,625,DX,262.913043478261,201206,PT,Bus,23
2010,3,607,DX,100.086956521739,200912,PT,Bus,23
2009,7,728,DX,8428,200906,DO,Bus,23
2018,10,550,DX,1486,201806,DO,Bus,23
2009,7,230,DX,5743,200906,DO,Bus,23
2013,10,71,DX,2078,201306,DO,Bus,23
2023,3,256,DX,739,202212,PT,Bus,23
2015,7,204,DX,24006,201506,DO,Bus,23
2016,3,762,DX,4216,201601,DO,Bus,23
2011,8,111,DX,18954,201106,DO,Bus,23
2011,8,180,DX,11530,201106,DO,Bus,23
2009,7,180,DX,10927,200906,DO,Bus,23
2011,8,152,DX,13187,201106,DO,Bus,23
2011,3,55,DX,10860,201012,DO,Bus,23
2010,3,161,DX,1368,200912,DO,Bus,23
2023,8,167,DX,1349,202306,PT,Bus,23
2010,3,164,DX,8310,200912,DO,Bus,23
2022,8,617,DX,456,202206,DO,Bus,23
2018,8,794,DX,3820,201806,DO,Bus,23
2011,8,220,DX,267,201106,DO,Bus,23
2021,3,687,DX,417,202012,DO,Bus,23
2016,3,243,DX,1832,201601,DO,Bus,23
2009,7,245,DX,3574,200906,DO,Bus,23
2023,8,2,DX,18021,202306,DO,Bus,23
2022,3,268,DX,439,202202,DO,Bus,23
2011,8,218,DX,1120.73913043478,201106,PT,Bus,23
2018,8,169,DX,2330,201806,DO,Bus,23
2020,7,757,DX,5568,202006,DO,Bus,23
2017,8,705,DX,5640,201706,DO,Bus,23
2019,10,252,DX,2396,201906,DO,Bus,23
2016,3,733,DX,11461,201601,DO,Bus,23
2015,7,205,DX,4281,201506,PT,Bus,23
2011,3,83,DX,4611,201012,DO,Bus,23
2014,10,802,DX,153957.059051186,201406,DO,Rail,23
2009,7,175,DX,723,200906,DO,Bus,23
2022,8,690,DX,1254,202206,DO,Bus,23
2021,3,180,DX,5766,202012,DO,Bus,23
2012,10,150,DX,11929,201206,DO,Bus,23
